Country,City,Cloudiness,Humidity,Max Temp,Wind Speed,Degrees from Equator,Degrees from Prime Meridian
SE,Kiruna,21.2,57.0,21.2,13.87,67.86,20.23
SE,Oskarshamn,29.7,92.0,35.01,4.7,57.26,16.44
SE,Skelleftea,18.18,73.0,19.4,3.36,64.75,20.95
SE,Timra,29.93,92.0,30.99,4.99,62.49,17.33
SL,Daru,79.65,72.0,79.65,8.46,7.99,10.85
SL,Mattru,82.03,66.0,82.03,5.88,7.62,11.83
SO,Bandarbeyla,79.47,100.0,79.47,3.2,9.49,50.81
SO,Garowe,69.3,95.0,69.3,5.44,8.41,48.48
SO,Xuddur,76.36,76.0,76.36,10.02,4.12,43.89
SY,Abu Samrah,47.56,77.0,47.56,8.01,35.3,37.18
SY,Sinjar,47.56,77.0,47.56,8.01,35.59,37.0
TC,Cockburn Town,77.13,100.0,77.13,12.26,21.46,71.14
TG,Kpalime,71.46,92.0,71.46,2.75,6.9,0.63
TH,Kamphaeng Phet,73.66,94.0,73.66,3.65,16.47,99.53
TH,Mukdahan,75.6,72.0,75.6,4.99,16.54,104.73
TH,Trat,87.04,64.0,88.0,3.42,12.25,102.51
TL,Airai,74.65,89.0,74.65,1.97,8.93,125.41
TM,Murgab,51.8,93.0,51.8,4.7,37.5,61.97
TO,Pangai,78.8,83.0,78.8,13.87,19.8,174.35
TR,Ayan,23.13,69.0,23.13,2.75,40.67,33.6
TR,Bismil,42.91,93.0,45.0,2.24,37.85,40.66
TR,Ordu,41.0,86.0,41.0,1.52,40.98,37.88
TR,Sungurlu,27.45,75.0,27.45,2.3,40.17,34.38
TT,Esperance,80.91,65.0,82.4,9.17,10.24,61.45
TZ,Mbekenyera,72.09,95.0,72.09,2.19,10.0,38.98
TZ,Songea,68.35,94.0,68.35,2.08,10.68,35.65
UA,Kalush,32.67,90.0,32.67,16.28,49.03,24.36
UA,Otyniya,31.77,90.0,31.77,12.03,48.74,24.86
UA,Velyka Oleksandrivka,39.46,78.0,39.46,6.67,47.32,33.3
US,Albany,35.92,21.0,41.0,14.99,42.65,73.75
US,Avera,60.39,63.0,62.6,9.17,33.19,82.53
US,Basco,51.39,21.0,54.0,4.7,40.33,91.2
US,Bennington,34.95,23.0,41.0,4.7,42.88,73.2
US,Bethel,39.13,75.0,41.0,20.8,60.79,161.76
US,College,44.64,70.0,48.2,3.36,64.86,147.8
US,Columbus,60.33,63.0,64.4,10.29,32.46,84.99
US,Dodge City,65.53,45.0,68.0,23.04,37.75,100.02
US,Eureka,57.11,66.0,60.01,6.93,40.8,124.16
US,Evanston,44.67,20.0,50.0,8.05,42.04,87.69
US,Fairbanks,44.47,70.0,48.2,3.36,64.84,147.72
US,Galle,75.92,31.0,79.0,9.17,29.74,97.91
US,Garden City,44.73,15.0,48.2,13.87,40.73,73.63
US,Havelock,50.99,32.0,55.4,21.92,34.88,76.9
US,Hilo,72.99,57.0,78.8,11.41,19.71,155.08
US,Kahului,75.65,69.0,82.4,6.93,20.89,156.47
US,Kapaa,75.61,78.0,78.8,5.82,22.08,159.32
US,Kodiak,60.44,19.0,62.01,11.41,39.95,94.76
US,Lamar,74.5,27.0,75.2,18.34,38.09,102.62
US,Largo,72.48,73.0,75.99,10.29,27.91,82.79
US,Leon Valley,76.91,31.0,79.0,8.05,29.5,98.62
US,Logansport,45.99,24.0,48.0,4.7,40.75,86.36
US,Lompoc,64.18,72.0,68.0,8.05,34.64,120.46
US,Marquette,40.96,26.0,42.8,9.17,46.54,87.4
US,Mount Pleasant,68.52,40.0,70.0,5.82,33.16,94.97
US,Nantucket,34.72,100.0,37.4,10.29,41.28,70.1
US,Nome,74.21,38.0,78.8,9.17,30.04,94.42
US,Ojinaga,81.81,32.0,84.2,11.41,29.56,104.41
US,Pacific Grove,62.26,55.0,68.0,3.36,36.62,121.92
US,Port Elizabeth,44.44,20.0,48.2,5.82,39.31,74.98
US,Portland,59.45,44.0,62.01,8.05,45.52,122.67
US,Republic,51.03,24.0,59.0,8.05,48.65,118.74
US,Rockport,71.96,53.0,75.2,16.11,28.02,97.05
US,Roseburg,57.9,50.0,60.01,2.19,43.22,123.34
US,Shasta Lake,56.32,57.0,61.0,3.36,40.68,122.36
US,Sitka,68.0,48.0,68.0,15.99,37.17,99.65
US,Southbridge,38.14,18.0,42.01,8.05,42.08,72.03
US,Springville,63.88,21.0,66.99,13.87,40.17,111.61
US,Ukiah,55.87,50.0,60.01,6.93,39.15,123.21
US,Urbana,48.16,23.0,50.0,8.05,40.11,88.21
US,Valparaiso,43.9,25.0,48.2,9.17,41.47,87.06
US,Vardo,44.1,30.0,46.4,5.82,39.62,77.74
US,Wagar,60.01,64.0,60.01,3.0,31.44,87.99
UY,Chuy,63.76,98.0,63.76,13.04,33.69,53.46
UY,Melo,63.09,85.0,63.09,8.01,32.37,54.17
UY,Progreso,64.33,59.0,66.0,11.41,34.68,56.22
UY,Rocha,61.47,74.0,61.47,8.68,34.48,54.34
UZ,Gazli,58.86,98.0,58.86,6.33,40.13,63.45
VE,Ciudad Guayana,87.66,41.0,87.66,8.68,8.32,62.69
VU,Isangel,82.4,78.0,82.4,9.17,19.55,169.27
ZA,Bredasdorp,65.52,72.0,66.2,14.99,34.53,20.04
ZA,Cape Town,65.77,63.0,68.0,6.93,33.93,18.42
ZA,Carnarvon,55.71,47.0,55.71,8.46,30.97,22.13
ZA,East London,68.58,100.0,68.58,5.44,33.02,27.91
ZA,Hermanus,66.67,76.0,68.0,10.0,34.42,19.24
ZA,Kruisfontein,58.9,85.0,58.9,8.23,34.0,24.73
ZA,Oranjemund,60.39,93.0,60.39,3.53,28.55,16.43
ZA,Port Alfred,65.61,93.0,65.61,9.35,33.59,26.89
ZA,Richards Bay,68.13,90.0,68.13,4.32,28.77,32.06
ZM,Kabompo,65.61,88.0,65.61,2.98,13.6,24.21
ZM,Kawambwa,65.38,99.0,65.38,2.42,9.8,29.07
ZM,Nakonde,61.96,96.0,61.96,2.98,9.33,32.75
ZW,Hwange,78.61,38.0,78.61,7.11,18.35,26.5
